Unnamed: 0,id,author_id,text,is_retweet,content
14,1654528337820123150,11348282,"We cant imagine a more beautiful thing than Mays full moon  the Corn Moon 

Set to peak on May 5 at 134pm ET 1634 UTC  this full moon also known as the Flower Moon will appear full till Sunday Discover how it got its names  ",False,"We can’t imagine a more beautiful thing than May’s full moon – the Corn Moon. 🌽

Set to peak on May 5 at 1:34pm ET (1634 UTC ), this full moon, also known as the Flower Moon, will appear full till Sunday. Discover how it got its names: https://t.co/wuMVsdlXDi https://t.co/gJK92nXt0O"
15,1654501719080837124,11348282,Hello there,False,@starwars @NASAWebb @NASAExoplanets Hello there
16,1654491325784367108,11348282,Four of Uranus largest moonsAriel Umbriel Titania and Oberonmay have oceans beneath their icy crusts according to a reanalysis of Voyager 2 data  ,False,"Four of Uranus’ largest moons—Ariel, Umbriel, Titania, and Oberon—may have oceans beneath their icy crusts, according to a re-analysis of Voyager 2 data. https://t.co/LyivnJCThe https://t.co/WvDf2uVLvF"
17,1654246599843803137,11348282,"Its a TRAPPIST1 

About 40 lightyears away lies a planetary system with the most Earthsized exoplanets found in a stars habitable zone Learn more about the TRAPPIST1 system that was recently studied by MayTheFourth ",False,"It’s a TRAP(PIST)-1! 🦑

About 40 light-years away lies a planetary system with the most Earth-sized exoplanets found in a star's habitable zone. Learn more about the TRAPPIST-1 system that was recently studied by @NASAWebb: https://t.co/0sxJaVq7RB

#MayTheFourth https://t.co/WzLjBjspuT"
18,1654236708613890049,11348282,This is from the James Webb Space Telescope Check out the full description here ,False,@alexattack88 This is from the James Webb Space Telescope. Check out the full description here: https://t.co/mXeoRBZiNI
19,1654234582789521415,11348282,Yes Start here ,False,@sixthirtyazula Yes! Start here: https://t.co/srXrw8FmB2
20,1654232857403850758,11348282,The bright white lights with blue spikes are stars More info about this image here ,False,@Reidepedro The bright white lights with blue spikes are stars. More info about this image here: https://t.co/mXeoRBZiNI
21,1654224856374816768,11348282,"When we say supermassive black holes just how do they measure up 

Using their shadows for size weve rounded up 10 black holes and compared them to objects in our solar system Dont worry  these black holes are many lightyears away  BlackHoleWeek ",False,"When we say “supermassive black holes,” just how do they measure up? 

Using their shadows for size, we’ve rounded up 10 black holes and compared them to objects in our solar system. Don’t worry – these black holes are many light-years away: https://t.co/Vb6zIWzHh6 #BlackHoleWeek https://t.co/pjgzio0Zcj"
22,1654202128695435265,11348282,"The eta Aquariid meteor shower is expected to reach its peak tonight May 45and even with the full Moon it could still be a great night for skywatching

Heres how where and when to track the eta Aquariids  ",False,"The eta Aquariid meteor shower is expected to reach its peak tonight (May 4-5)—and even with the full Moon, it could still be a great night for skywatching!

Here's how, where and when to track the eta Aquariids: https://t.co/7elIWZ0XcA https://t.co/3ohsrF4Xyo"
23,1654188557219577856,11348282,"Bring balance to the force not leave it in darkness

Happy StarWarsDay And MayThe4thBeWithYou ",False,"Bring balance to the force, not leave it in darkness.

Happy #StarWarsDay. And #MayThe4thBeWithYou. https://t.co/E2WXvLLyLX"
24,1653887411053633537,11348282, Reflecting on the past two years I am humbled by the dedication of the team and their commitment to advancing science and exploration We have so much to look forward to Together we will continue to push the limits of exploration and achieve the impossible ,True,"RT @SenBillNelson: Reflecting on the past two years, I am humbled by the dedication of the @NASA team and their commitment to advancing science and exploration. We have so much to look forward to. Together, we will continue to push the limits of exploration and achieve the impossible. https://t.co/mJ5So8C86Y"
25,1653877259239915520,11348282," I can see youre lonely down there Dont you know that Im right here

Honored to be an inspiration to robots everywhere  ",True,"RT @MarsCuriosity: “I can see you’re lonely down there... Don’t you know that I’m right here?”

Honored to be an inspiration to robots everywhere, @Harry_Styles. 🛰️ https://t.co/RnFlFDn6kJ"
26,1653865799373684737,11348282,"Ive seen just one spark of curiosity create a great burning love and fire for learning AANHPIHeritageMonth 

Katherine Brown helps inspire the next generation as a public affairs officer for ",False,"""I've seen just one spark of curiosity create a great burning love and fire for learning."" #AANHPIHeritageMonth 

Katherine Brown helps inspire the next generation as a public affairs officer for @NASASTEM: https://t.co/uzvnrbyak6 https://t.co/iZojzTPXJi"
27,1653847713052520455,11348282," Interacting galaxies known as AM 1214255 shine bright in this new view from Hubble

Both galaxies contain active galactic nuclei which are luminous central regions that host a black hole Learn more for BlackHoleWeek  ",True,"RT @NASAHubble: Interacting galaxies, known as AM 1214-255, shine bright in this new view from Hubble!

Both galaxies contain active galactic nuclei, which are luminous central regions that host a black hole. Learn more for #BlackHoleWeek: https://t.co/CNy2vYRNGU https://t.co/5H9ffzDfkr"
28,1653845105906790401,11348282,LIVE Two cosmonauts are about to start a spacewalk to help install an experiment airlock on the Nauka science module Tune in for NASA TV coverage at  ,False,LIVE: Two cosmonauts are about to start a spacewalk to help install an experiment airlock on the @Space_Station's Nauka science module. Tune in for NASA TV coverage at https://t.co/z1RgZwQkWS. https://t.co/tm2eGXZPlm
29,1653782410683621376,11348282,"Our BlackHoleWeek event is on the horizon  Join our May 5 to learn from experts as they talk about black holes including the one at the center of our galaxy AskNASA your questions and they might be answered live ",False,"Our #BlackHoleWeek event is on the horizon. 🕳️ Join our May 5 @TwitterSpaces to learn from experts as they talk about black holes, including the one at the center of our galaxy. #AskNASA your questions and they might be answered live. https://t.co/Jvg0jcEtOo"
30,1653762393992843265,11348282, LIVE NOW The Czech Republic is signing the Artemis Accords joining more than 20 nations from all over the world committed to the peaceful and safe exploration of space  ,True,"RT @NASAArtemis: LIVE NOW: The Czech Republic is signing the #Artemis Accords, joining more than 20 nations from all over the world committed to the peaceful and safe exploration of space: https://t.co/lWecM3PxEX https://t.co/FVdA6jeYU0"
31,1653504938746564619,11348282,The rings are light echoes from a gammaray burst On their way to Earth some Xrays from the event scattered off dust clouds in our galaxy Like a sound echo this light took longer to reach us appearing as expanding Xray rings days after the burst itself had faded away,False,"@YeahHeyItsSteve The rings are light “echoes” from a gamma-ray burst. On their way to Earth, some X-rays from the event scattered off dust clouds in our galaxy. Like a sound echo, this light took longer to reach us, appearing as expanding X-ray rings days after the burst itself had faded away."
